MatchKey,DateKey,TimeKey,HomeTeamKey,AwayTeamKey
4008203,0,0,0,7
4008597,67,0,0,7
4008685,82,0,0,7
4009067,148,0,0,7
4009307,197,0,0,7
4009619,240,0,0,7
4009619,242,0,0,7
4009619,253,0,0,7
4009808,310,0,0,7
4010017,352,0,0,7
4010163,376,0,0,7
4010446,439,0,0,7
4010837,546,0,0,7
4010876,557,0,0,7
4011221,633,0,0,7
39758,3192,5,0,7
3670498,1654,6,0,7
2635123,4015,7,0,7
3216702,4326,7,0,7
4011512,705,8,0,7
3564815,1717,8,0,7
3569260,1812,8,0,7
3568773,1845,8,0,7
3666759,2232,8,0,7
3492076,2342,8,0,7
3177099,2406,8,0,7
3112025,2466,8,0,7
2980712,2561,8,0,7
2970680,2696,8,0,7
1043882,2721,8,0,7
995220,2805,8,0,7
2283,2996,8,0,7
24816,3096,8,0,7
54727,3307,8,0,7
79936,3340,8,0,7
2864899,4154,8,0,7
4093112,4749,10,0,7
996226,2942,16,0,7
978281,3552,16,0,7
1049112,3602,16,0,7
1134334,3708,16,0,7
2732157,4122,16,0,7
3117085,4285,16,0,7
3598360,4643,18,0,7
3851269,4667,23,0,7
3415325,4439,27,0,7
4008311,26,0,1,7
4008516,52,0,1,7
3568693,2001,0,1,7
3666711,2214,0,1,7
3112011,2462,0,1,7
2980789,2581,0,1,7
2970551,2661,0,1,7
1080705,2770,0,1,7
1057398,2875,0,1,7
3194030,2290,8,1,7
3171349,2382,8,1,7
4008318,28,0,2,7
4008475,46,0,2,7
4008877,109,0,2,7
4009995,346,0,2,7
4011869,778,3,2,7
4008259,7,0,3,7
4009187,167,0,3,7
4009420,220,0,3,7
4009668,277,0,3,7
4010285,399,0,3,7
4010860,553,0,3,7
3987741,1363,0,3,7
4008563,58,1,3,7
3415264,4418,2,3,7
4008779,97,7,3,7
4009028,142,7,3,7
4009964,341,7,3,7
4010363,414,8,3,7
4010755,521,8,3,7
4011187,625,8,3,7
4011331,658,8,3,7
4011621,726,8,3,7
4011951,794,8,3,7
4012555,926,8,3,7
4012807,976,8,3,7
4012969,1012,8,3,7
4013324,1086,8,3,7
3986858,1160,8,3,7
3987500,1305,8,3,7
3988077,1443,8,3,7
3988330,1493,8,3,7
3670341,1622,8,3,7
3670428,1638,8,3,7
3564571,1706,8,3,7
3569114,1776,8,3,7
3568860,1869,8,3,7
3598107,4546,26,3,7
4008451,43,0,4,7
4008795,99,0,4,7
4009147,159,0,4,7
4009387,212,0,4,7
4009452,227,0,4,7
4009770,299,0,4,7
4009892,328,0,4,7
4010320,396,0,4,7
