FullDate,Season,PlayDay,DateKey
1965-02-13,1964,21,198
1965-02-14,1964,21,199
1965-02-20,1964,22,200
1965-02-21,1964,22,201
1965-03-06,1964,23,202
1965-03-07,1964,23,203
1965-03-14,1964,24,204
1965-03-20,1964,25,205
1965-03-21,1964,25,206
1965-03-27,1964,26,207
1965-03-28,1964,26,208
1965-04-04,1964,27,209
1964-12-13,1964,28,210
1965-04-11,1964,28,211
1965-04-25,1964,29,212
1965-04-01,1964,30,213
1965-05-02,1964,30,214
1965-09-04,1965,1,215
1965-09-05,1965,1,216
1965-09-11,1965,2,217
1965-09-12,1965,2,218
1965-09-18,1965,3,219
1965-09-19,1965,3,220
1965-10-03,1965,4,221
1965-10-09,1965,5,222
1965-10-10,1965,5,223
1965-10-17,1965,6,224
1965-10-24,1965,6,225
1965-10-30,1965,7,226
1965-10-31,1965,7,227
1965-11-07,1965,8,228
1966-01-02,1965,8,229
1966-05-01,1965,8,230
1965-11-14,1965,9,231
1965-11-21,1965,10,232
1965-11-27,1965,11,233
1965-11-28,1965,11,234
1965-12-05,1965,12,235
1965-12-12,1965,13,236
1965-12-18,1965,14,237
1965-12-19,1965,14,238
1966-04-16,1965,14,239
1966-04-24,1965,14,240
1965-12-26,1965,15,241
1966-04-24,1965,15,242
1966-04-30,1965,15,243
1966-05-01,1965,15,244
1966-05-04,1965,15,245
1966-01-09,1965,16,246
1966-01-15,1965,17,247
1966-01-16,1965,17,248
1966-01-22,1965,18,249
1966-01-23,1965,18,250
1966-05-01,1965,18,251
1966-01-30,1965,19,252
1966-04-24,1965,19,253
1966-02-06,1965,20,254
1966-02-13,1965,21,255
1966-04-17,1965,21,256
1966-02-20,1965,22,257
1966-02-26,1965,23,258
1966-02-27,1965,23,259
1966-03-06,1965,24,260
1966-03-13,1965,25,261
1966-03-19,1965,26,262
1966-03-20,1965,26,263
1966-03-27,1965,27,264
1966-04-02,1965,28,265
1966-04-03,1965,28,266
1966-05-07,1965,29,267
1966-05-08,1965,29,268
1966-05-14,1965,30,269
1966-05-15,1965,30,270
1966-09-04,1966,1,271
1966-09-10,1966,2,272
1966-09-11,1966,2,273
1966-09-17,1966,3,274
1966-09-18,1966,3,275
1966-09-24,1966,4,276
1966-09-25,1966,4,277
1966-10-01,1966,5,278
1966-10-02,1966,5,279
1966-10-09,1966,6,280
1966-10-15,1966,7,281
1966-10-16,1966,7,282
1966-10-28,1966,8,283
1966-10-30,1966,8,284
1966-11-06,1966,9,285
1966-11-20,1966,10,286
1966-11-25,1966,11,287
1966-11-27,1966,11,288
1966-12-03,1966,12,289
1966-12-04,1966,12,290
1966-12-11,1966,13,291
1966-12-25,1966,13,292
1967-01-02,1966,13,293
1966-12-18,1966,14,294
1967-01-08,1966,15,295
1967-03-26,1966,15,296
1967-01-13,1966,16,297
1967-01-15,1966,16,298
1967-01-22,1966,17,299
1967-01-29,1966,18,300
1967-02-04,1966,19,301
1967-02-05,1966,19,302
1967-02-10,1966,20,303
1967-02-11,1966,20,304
1967-02-12,1966,20,305
1967-02-18,1966,21,306
1967-02-19,1966,21,307
1967-03-19,1966,21,308
1967-04-16,1966,21,309
1967-02-26,1966,22,310
1967-03-05,1966,23,311
1967-03-11,1966,24,312
1967-03-12,1966,24,313
1967-03-31,1966,25,314
1967-04-01,1966,25,315
1967-04-02,1966,25,316
1967-04-08,1966,26,317
1967-04-09,1966,26,318
1967-04-21,1966,27,319
1967-04-23,1966,27,320
1967-04-29,1966,28,321
1967-04-30,1966,28,322
1967-05-04,1966,29,323
1967-05-07,1966,30,324
1967-09-02,1967,1,325
1967-09-03,1967,1,326
1967-09-09,1967,2,327
1967-09-10,1967,2,328
1967-09-17,1967,3,329
1967-09-23,1967,4,330
1967-09-24,1967,4,331
1967-10-01,1967,5,332
1967-10-14,1967,6,333
1967-10-15,1967,6,334
1967-10-22,1967,7,335
1967-11-05,1967,8,336
1967-11-11,1967,9,337
1967-11-12,1967,9,338
1967-11-26,1967,10,339
1967-12-02,1967,11,340
1967-12-03,1967,11,341
1967-12-10,1967,12,342
1967-12-17,1967,13,343
1968-01-07,1967,14,344
1968-02-25,1967,15,345
1968-01-21,1967,16,346
1968-04-11,1967,16,347
1968-05-26,1967,16,348
1968-01-28,1967,17,349
1968-02-03,1967,18,350
1968-02-04,1967,18,351
1968-02-11,1967,19,352
1968-02-18,1967,20,353
1968-03-03,1967,21,354
1968-03-10,1967,22,355
1968-03-16,1967,23,356
1968-03-17,1967,23,357
1968-03-24,1967,24,358
1968-03-30,1967,25,359
1968-03-31,1967,25,360
1968-04-20,1967,26,361
1968-04-21,1967,26,362
1968-04-28,1967,27,363
1968-05-05,1967,28,364
1968-05-12,1967,29,365
1968-05-18,1967,30,366
1968-05-19,1967,30,367
1968-09-07,1968,1,368
1968-09-08,1968,1,369
1968-09-15,1968,2,370
1968-09-21,1968,3,371
1968-09-22,1968,3,372
1968-09-29,1968,4,373
1968-10-05,1968,5,374
1968-10-06,1968,5,375
1968-10-20,1968,6,376
1968-10-26,1968,7,377
1968-10-27,1968,7,378
1968-11-02,1968,8,379
1968-11-03,1968,8,380
1968-11-10,1968,9,381
1968-11-17,1968,10,382
1968-11-24,1968,11,383
1968-12-01,1968,12,384
1968-12-15,1968,13,385
1968-12-21,1968,14,386
1968-12-22,1968,14,387
1969-01-05,1968,15,388
1969-01-12,1968,16,389
1969-01-19,1968,17,390
1969-01-26,1968,18,391
1969-02-02,1968,19,392
1969-04-03,1968,20,393
1969-04-04,1968,20,394
1969-04-05,1968,20,395
1969-04-06,1968,20,396
1969-03-02,1968,21,397
1969-03-08,1968,22,398
1969-03-09,1968,22,399
1969-03-16,1968,23,400
1969-03-22,1968,24,401
1969-03-23,1968,24,402
1969-03-29,1968,25,403
1969-03-30,1968,25,404
1969-04-12,1968,26,405
1969-04-13,1968,26,406
1969-04-19,1968,27,407
1969-04-20,1968,27,408
1969-04-26,1968,28,409
1969-04-27,1968,28,410
1969-05-04,1968,29,411
1969-05-10,1968,30,412
1969-05-11,1968,30,413
1969-09-06,1969,1,414
1969-09-07,1969,1,415
1969-09-13,1969,2,416
1969-09-14,1969,2,417
1969-09-20,1969,3,418
1969-09-21,1969,3,419
1969-09-27,1969,4,420
1969-09-28,1969,4,421
1969-10-04,1969,5,422
1969-10-05,1969,5,423
1969-10-11,1969,6,424
1969-10-12,1969,6,425
1969-10-19,1969,7,426
1969-12-28,1969,7,427
1969-10-25,1969,8,428
1969-10-26,1969,8,429
1969-11-01,1969,9,430
1969-11-02,1969,9,431
1969-11-08,1969,10,432
1969-11-09,1969,10,433
1969-11-11,1969,10,434
1970-03-22,1969,10,435
1969-11-15,1969,11,436
1969-11-16,1969,11,437
1969-11-22,1969,12,438
1969-11-23,1969,12,439
1969-11-30,1969,13,440
1969-12-28,1969,13,441
1970-03-21,1969,13,442
1969-12-05,1969,14,443
1969-12-07,1969,14,444
1969-12-14,1969,15,445
1970-03-22,1969,15,446
1969-12-21,1969,16,447
1970-02-22,1969,16,448
1970-01-03,1969,17,449
1970-01-04,1969,17,450
1970-02-21,1969,17,451
1970-02-22,1969,17,452
1970-01-10,1969,18,453
1970-01-11,1969,18,454
1970-01-18,1969,19,455
1970-01-24,1969,20,456
